price_total,address,area_sqft,latitude,longitude,bhk,bathrooms,balcony,status,transaction,furnishing,property_type,price_per_sqft,city,source,nearest_station,station_city,station_lat,station_lon,annual_aqi,dist_to_station_km
10000000.0,"Noida, Delhi NCR",891.0,28.615887848111,77.4262748642862,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,11223.0,Noida,new,Sector 62 Noida,Noida,28.627,77.373,224.41,5.34
35000000.0,"Noida, Delhi NCR",2340.0,28.5670421352411,77.4074636725315,3.0,4.0,4.0,Ready to Move,Resale,Semi-Furnished,Flat,14957.0,Noida,new,Sector 62 Noida,Noida,28.627,77.373,224.41,7.47
72500000.0,"New Delhi, Delhi NCR",1800.0,28.64136955,77.17716925,3.0,3.0,2.0,Ready to Move,New Property,Semi-Furnished,Individual House,40278.0,New Delhi,new,Mandir Marg,New Delhi,28.6378,77.2019,191.22,2.45
53000000.0,"Gurgaon, Delhi NCR",2781.0,28.506332891689,77.0654228482397,3.0,3.0,3.0,Ready to Move,New Property,Semi-Furnished,Flat,19058.0,Gurgaon,new,Aya Nagar,New Delhi,28.4725,77.1097,186.49,5.73
8000000.0,"Gurgaon, Delhi NCR",605.0,28.4244375,77.098212,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,13223.0,Gurgaon,new,Gwal Pahari,Gurgaon,28.42,77.15,219.39,5.09
12500000.0,"New Delhi, Delhi NCR",1000.0,28.63969483,77.09019514,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,12500.0,New Delhi,new,Punjabi Bagh,New Delhi,28.6726,77.1312,210.67,5.42
13000000.0,"Gurgaon, Delhi NCR",1300.0,28.4380917410258,77.0243094137229,2.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,10000.0,Gurgaon,new,Vikas Sadan,Gurgaon,28.45,77.026,177.78,1.33
22500000.0,"Noida, Delhi NCR",1795.0,28.5196572339031,77.3815512604255,3.0,3.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,12535.0,Noida,new,Sector 125 Noida,Noida,28.5448,77.329,202.65,5.85
19960000.0,"Greater Noida, Delhi NCR",2495.0,28.313852870739577,77.53448444724233,4.0,4.0,4.0,Ready to Move,New Property,Semi-Furnished,Flat,8000.0,Greater Noida,new,Knowledge Park III,Greater Noida,28.4744,77.504,194.53,18.1
24000000.0,"Gurgaon, Delhi NCR",1350.0,28.479568,77.080062,2.0,3.0,4.0,Ready to Move,Resale,Semi-Furnished,Flat,17778.0,Gurgaon,new,Aya Nagar,New Delhi,28.4725,77.1097,186.49,3.0
37500000.0,"New Delhi, Delhi NCR",1050.0,28.5379367124353,77.2488964992442,3.0,3.0,2.0,Ready to Move,New Property,Semi-Furnished,Individual House,35714.0,New Delhi,new,CRRI Mathura Road,New Delhi,28.5514,77.2739,225.62,2.86
49000000.0,"Noida, Delhi NCR",2727.0,28.5670421352411,77.4074636725315,4.0,4.0,5.0,Ready to Move,Resale,Semi-Furnished,Flat,17968.0,Noida,new,Sector 62 Noida,Noida,28.627,77.373,224.41,7.47
39900000.0,"New Delhi, Delhi NCR",1400.0,28.714832,77.123697,3.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,28500.0,New Delhi,new,Rohini,New Delhi,28.7041,77.1172,220.66,1.35
5400000.0,"New Delhi, Delhi NCR",700.0,28.6229276241962,77.0435862082456,3.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Individual House,7714.0,New Delhi,new,NSIT Dwarka,New Delhi,28.6083,77.0321,212.95,1.98
5000000.0,"New Delhi, Delhi NCR",640.0,28.6002252071827,77.0798658849087,2.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Individual House,7812.0,New Delhi,new,Dwarka Sector 8,New Delhi,28.5825,77.046,229.58,3.85
22500000.0,"Ghaziabad, Delhi NCR",1895.0,28.6451757099583,77.3786701221134,3.0,3.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,11873.0,Ghaziabad,new,Vasundhara,Ghaziabad,28.659,77.365,225.23,2.04
18000000.0,"New Delhi, Delhi NCR",2700.0,28.6754742835432,77.1803064052641,7.0,5.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,6667.0,New Delhi,new,Ashok Vihar,New Delhi,28.6928,77.1833,215.95,1.95
35000000.0,"New Delhi, Delhi NCR",1600.0,28.5646159784497,77.1949033645313,3.0,3.0,3.0,Ready to Move,New Property,Semi-Furnished,Individual House,21875.0,New Delhi,new,RK Puram,New Delhi,28.5665,77.1764,211.91,1.82
7500000.0,"Greater Noida, Delhi NCR",875.0,28.615887848111,77.4262748642862,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,8571.0,Greater Noida,new,Sector 62 Noida,Noida,28.627,77.373,224.41,5.34
16330000.0,"Faridabad, Delhi NCR",2925.0,28.403290919559,77.3754624862657,4.0,4.0,4.0,Ready to Move,Resale,Semi-Furnished,Flat,5583.0,Faridabad,new,Sector 16A,Faridabad,28.367,77.312,199.36,7.4
